lincence_no,appurtenant_land,related_licences,fa,purpose
C012745,"STOR FOR C 12744 MOORE CR",None,None,{"Stream Storage: Non-Power"}
C114499,"STORAGE FOR CONDITIONAL WATER LICENCE114434",{"114434"},None,{"Stream Storage: Non-Power"}
C043924,"STOR FOR C 43923 HONEYMOON LK",None,None,{"Stream Storage: Non-Power"}
C115918,"STOR FOR C 155907 NEDS CR",None,None,{"Stream Storage: Non-Power"}
C052538,"STOR FOR C 52537 NATHAN CR",None,None,{"Stream Storage: Non-Power"}
C120204,"8.74 AC OF NW 1/4 OF SEC 9 TP 21 R 12W6M KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C037070,"STOR FOR C 37069 SCARF BR",None,None,{"Stream Storage: Non-Power"}
C110621,"70.5 ACS OF THAT PT OF DL 1683 KDYD LYING WEST & NORTH OF YELLOWHEAD HWY PLAN H11093 EXC PLANS 31942, H558 & KAP53005",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C064074,"THAT PART OF SEC 90 RENFREW DIST LYING W OF PLAN 6764",None,None,{"Processing & Mfg: Processing","Stream Storage: Non-Power"}
C106988,"8.2 ACS OF LOT 1 OF SEC 35 TP 20 R 13W6M KDYD PLAN 41371",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C119567,"LOT 1 SEC 29 TP 8 NWD PL 26066",None,None,{"Stream Storage: Non-Power"}
C109620,"STOR FOR CL 15960 15969 & 109618 HYDRAULIC CR VER KEL 30A",None,None,{"Stream Storage: Non-Power"}
C058751,"STOR FOR C 58750 RICHARDSON SPR",None,None,{"Stream Storage: Non-Power"}
C058453,"STOR FOR C 58452 CONSTANCE SWAMP",None,None,{"Stream Storage: Non-Power"}
C129150,"The Westerly 1650 feet of Sections 6 and 7, Range 3 East, South Saanich District, containing 95 acres more or less, as shown outlined in red deposited under DD 14496, except parts in Plans 17008, 18362, 30384, 31617 and VIP67428",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
F127777,"STOR FOR F 9987 FOUNTAIN CR",None,None,{"Stream Storage: Non-Power"}
C106306,"CON PROJECT OF LICENSEE WITHIN WHITE CR & WHITE LK IN TP 22 R 10 & TP 22, R 9 W6M",None,None,{"Conservation: Storage","Stream Storage: Non-Power"}
C024766,"STOR FOR C 24765 HONEYMOON LK",None,None,{"Stream Storage: Non-Power"}
C034751,"STOR FOR C 34750 HARDWICK CR",None,None,{"Stream Storage: Non-Power"}
C061910,"STOR FOR C61909 DODGE CR",None,None,{"Stream Storage: Non-Power"}
F009584,"STOR FOR C 67039 KNOUFF CR",None,None,{"Stream Storage: Non-Power"}
C124360,"PARCEL B (DD122859I) OF LOT 2 SECTION 84 SOOKE DISTRICT PLAN 1999 EXCEPT PART IN PLAN 19370 ",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C119678,"1 AC L B DL 2382S SDYD PL 34512",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C044939,"STOR FOR CWL 117294 & CWL 117295 HASLAM CR & MCNEILL LK",{"117294","117295"},None,{"Stream Storage: Non-Power"}
C055030,"STOR FOR C 55029 WHELAN CR",None,None,{"Stream Storage: Non-Power"}
C114208,"AS SET OUT IN CONDITIONAL WATER LICENCES 114193 AND 114209",{"114193","114209"},None,{"Stream Storage: Non-Power"}
C030674,"STOR FOR C 30673 HECTOR CR",None,None,{"Stream Storage: Non-Power"}
C112024,"STOR FOR C111384",None,None,{"Stream Storage: Non-Power"}
504928,"District Lot 1141 Range 5 Coast District Except Plan 6795",None,None,{"Livestock & Animal","Stream Storage: Non-Power"}
C072845,"SE 1/4 OF NE 1/4 OF SEC 9 TP 23 R 16 W6M",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C115925,"SEE FILE",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C130933,"Storage for C130930 Anderson Creek",None,None,{"Stream Storage: Non-Power"}
C123737,"LOT B DISTRICT LOT 11 AND LOT 100 OYSTER DISTRICT PLAN VIP84059",None,None,{"Irrigation: Private","Livestock & Animal: Stockwatering","Stream Storage: Non-Power"}
C024764,"STOR FOR C 24763 HONEYMOON LK",None,None,{"Stream Storage: Non-Power"}
C038180,"STOR FOR C 38179 ALLISON CR",None,None,{"Stream Storage: Non-Power"}
C125777,"Lot 2, Sections 7 and 8, Range 1, South Salt Spring Island, Cowichan District, Plan VIP81978, except part in Plan VIP87315",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C108079,"LOT GZ KAMLOOPS INDIAN RESERVE #1 AS SHOWN ON PLAN 63044 CANADA LANDS SURVEYS RECORDS OTTAWA",None,None,{Domestic,"Stream Storage: Non-Power"}
C061158,"STOR FOR C 63657 READ CAM NORTH W MIDDAY & MIDDAY CRS",None,None,{"Stream Storage: Non-Power"}
C057952,"STOR FOR C 57950 SHATFORD CR & C 57951 MARRON R",None,None,{"Stream Storage: Non-Power"}
C061471,"STOR FOR C 61470 GARLICK BR",None,None,{"Stream Storage: Non-Power"}
C128071,"Lot 2, Section 20, Range 2, Mountain District and District Lot 21, Wellington District, Plan VIP88283 except part in Plan EPP12831",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C119264,"THAT PART OF L A PLAN KAP48436 LYING RIGHT OF DURAND CR WITHIN THE SW 1/4 SEC 36 TWP 20 R 21 W6M KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C118786,"14.4 ACRES OF LOT 1 DL 212 SDYD PLAN 27424 EXCEPT PLANS 33507 AND 33989",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C118006,"STOR FOR C 111553 C 118031 AND C 118032 OR ANY LICENCES ISSUED IN SUBSTITUTION THEREOF",None,None,{"Stream Storage: Non-Power"}
C062952,"STOR FOR C 62951 LINDQUIST CR (see case notes)",None,None,{"Stream Storage: Non-Power"}
F109778,"L 1 DL 2138 2139 2408 & 3171 KDYD PLAN 37432 WITHIN L 2138 & 2139 KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C118926,"DL 3100 KDYD EXC KAP65155",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C122552,"Lot A, Sections 17 and 18, VIP74669 and Lot 15, Section 18, Plan 37639, Saturna Island, Cowichan District",None,None,{Domestic,"Stream Storage: Non-Power"}
C130255,"Lot A, Sections 17 and 18, VIP74669 and Lot 15, Section 18, Plan 37639, Saturna Island, Cowichan District",None,None,{"Stream Storage: Non-Power","Misc Ind'l: Fire Protection"}
F050173,"STOR FOR F 50172 ED JAMES CR",None,None,{"Stream Storage: Non-Power"}
C120203,"15.58 AC OF L1 SEC 17 TP 21 R 12 W6M KDYD PL KAP50063",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C035049,"STOR FOR C 35050 ROANY CR",None,None,{"Stream Storage: Non-Power"}
C037176,"STOR FOR C 37175 PAUL LK",None,None,{"Stream Storage: Non-Power"}
F044075,"STOR FOR F 4057, 4058, 4059 & 4060 QUILCHENA CR",None,None,{"Stream Storage: Non-Power"}
C055073,"STOR FOR C 55072 GARFIELD SPR & GODFREY POND",None,None,{"Stream Storage: Non-Power"}
F067970,"STOR FOR F 67969 MARRON R",None,None,{"Stream Storage: Non-Power"}
C107028,"LOT 2 BLOCK 29 COMOX DIST PLAN 34568",None,None,{Domestic,"Stream Storage: Non-Power"}
503184,"Lot A, District Lot 22, Nelson District, Plan 23836",None,None,{Domestic,"Irrigation: Private","Stream Storage: Non-Power"}
C132395,"The Northwest 1/4 of Section 6 Township 20 Range 13 West of the 6th Meridian Kamloops Division Yale District",None,None,{"Land Improvement: General","Stream Storage: Non-Power"}
C043930,"STOR FOR C 43929 NEWMAN CR",None,None,{"Stream Storage: Non-Power"}
C065834,"L 1 OF SEC 12 R 1 QUAMICHAN DIST PLAN 23861",None,None,{"Stream Storage: Non-Power","Greenhouse & Nursery: Greenhouse","Irrigation: Private"}
505497,"BLOCK B SECTION 21 TOWNSHIP 88 RANGE 22 WEST OF THE 6TH MERIDIAN BLOCK A OF SECTION 21 TOWNSHIP 88 RANGE 22 WEST OF THE SIXTH MERIDIAN BLOCK A OF SECTION 22 TOWNSHIP 88 RANGE 22 WEST OF THE SIXTH MERIDIAN BLOCK B OF SECTION 22 TOWNSHIP 88 RANGE 22 WEST OF THE 6TH MERIDIAN BLOCK A OF SECTION 23 TOWNSHIP 88 RANGE 22 WEST OF THE 6TH MERIDIAN THE SOUTH WEST 1/4 OF SECTION 27 TOWNSHIP 88 RANGE 22 WEST OF THE SIXTH MERIDIAN ALL WITHIN THE PEACE RIVER DISTRICT",None,None,{"Livestock & Animal","Stream Storage: Non-Power",Domestic}
C051020,"STOR FOR C 51019 JEFCOAT SPR",None,None,{"Stream Storage: Non-Power"}
C130782,"Common Property, Strata Plan VIS6504",None,None,{"Land Improvement: General","Stream Storage: Non-Power"}
C067288,"100 AC OF L 1178 KDYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
C119547,"24 AC OF DL 3489 & 3491 EXC THE W 1/2& PL 35207 ALL OF ODYD",None,None,{"Stream Storage: Non-Power","Irrigation: Private"}
505102,"Strata Lot 4, Section 132, Lake District, Strata Plan EPS1601, together with an interest in the common property in proportion to the unit entitlement of the Strata Lot as shown on Form V",None,None,{"Stream Storage: Non-Power","Land Improvement: General"}
C070703,"L 3342 KDYD",None,None,{"Livestock & Animal: Stockwatering","Stream Storage: Non-Power","Irrigation: Private"}
C123445,"32.3 AC OF DL 492 KDYD EXC PL KAP75197",None,None,{"Irrigation: Private","Stream Storage: Non-Power"}
C022586,"STOR FOR C 22585 CHASE R",None,None,{"Stream Storage: Non-Power"}
C104096,"AS SET OUT IN FL 9549",None,None,{"Stream Storage: Non-Power"}
C063932,"STOR FOR CL 63931 AUTUMN BR",None,None,{"Stream Storage: Non-Power"}
C046938,"STOR FOR C 46824 NEFF CR",None,None,{"Stream Storage: Non-Power"}
