# Data Licence Information,"Data from BC Ministry of Environment Environmental Monitoring System contains information licensed under Open Government License (http://www2.gov.bc.ca/gov/content/governments/about-the-bc-government/databc/open-data/open-government-license-bc). Any reliance you place upon the information contained here is your sole responsibility and strictly at your own risk. In no event will BC Oil and Gas Commission, Ministry of Forests, Lands and Natural Resource Operations or Foundry Spatial Ltd. be liable for any loss or damage whatsoever, including without limitation, indirect or consequential loss or damage, arising from reliance upon the data or derived information."

# Name,Site 22 Cowichan Geochem
# Network,BC MoE - Environmental Monitoring System
# Status,"Historical"
# Drainage Area,None
# Operation,Not Available
# Latitude,48.7714
# Longitude,-123.8916
# Description,None
# QA,"1 - Quality Checked, 0 - Unchecked Quality"
# Date Range,2014-2014

Analysis,Datetime,Value,QA,Location Purpose,Sampling Agency,Analyzing Agency,Collection Method,Sample State,Sample Descriptor,Analytical Method
Alkalinity Total 4.5 (as CaCO3),2014-06-11T17:19:00.000000,114,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Auto Potentiometric Titration
Alkalinity; Phenolphthalein (as CaCO3),2014-06-11T17:19:00.000000,<0.5,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Auto Potentiometric Titration
Aluminum Dissolved,2014-06-11T17:19:00.000000,0.00149,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Antimony Dissolved,2014-06-11T17:19:00.000000,0.00002,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Arsenic Dissolved,2014-06-11T17:19:00.000000,0.000344,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Barium Dissolved,2014-06-11T17:19:00.000000,0.00342,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Beryllium Dissolved,2014-06-11T17:19:00.000000,<0.00001,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Bicarbonate Alkalinity (as CaCO3),2014-06-11T17:19:00.000000,139,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (mg/L)
Bismuth Dissolved,2014-06-11T17:19:00.000000,<0.000005,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Boron Dissolved,2014-06-11T17:19:00.000000,0.054,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Bromide Extractable,2014-06-11T17:19:00.000000,0.013,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,CRC ICPMS - run RAW for Br and I; unfiltered; unpreserved
Cadmium Dissolved,2014-06-11T17:19:00.000000,< 0.000005,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Calcium Dissolved,2014-06-11T17:19:00.000000,35.5,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Carbonate Alkalinity (as CaCO3),2014-06-11T17:19:00.000000,<0.5,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (mg/L)
Chloride Dissolved,2014-06-11T17:19:00.000000,4.5,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Auto colorimetric; HgSCN
Chromium Dissolved,2014-06-11T17:19:00.000000,<0.0001,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Cobalt Dissolved,2014-06-11T17:19:00.000000,0.000032,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Coliform - Total,2014-06-11T17:23:00.000000,<1,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Membrane Filter Count
Copper Dissolved,2014-06-11T17:19:00.000000,0.000247,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
E Coli,2014-06-11T17:23:00.000000,<1,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Membrane Filter Count
Fluoride Dissolved,2014-06-11T17:19:00.000000,0.098,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Selective Ion Electrode
Hardness (Dissolved) (as CaCO3),2014-06-11T17:19:00.000000,117,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (Ca; Mg)
Hydroxide Alkalinity (as CaCO3),2014-06-11T17:19:00.000000,<0.5,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (mg/L)
Iron Dissolved,2014-06-11T17:19:00.000000,0.137,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Lead Dissolved,2014-06-11T17:19:00.000000,0.000011,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Lithium Dissolved,2014-06-11T17:19:00.000000,<0.0005,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Magnesium Dissolved,2014-06-11T17:19:00.000000,6.93,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Manganese Dissolved,2014-06-11T17:19:00.000000,0.0912,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Molybdenum Dissolved,2014-06-11T17:19:00.000000,0.00111,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Nickel Dissolved,2014-06-11T17:19:00.000000,0.000184,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Filt.;Acid;ICPMS
Nitrate (NO3) Dissolved,2014-06-11T17:19:00.000000,<0.002,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (mg/L)
Nitrate(NO3) + Nitrite(NO2) Dissolved,2014-06-11T17:19:00.000000,0.0084,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Auto. Cadmium Reduction
Nitrogen (Kjeldahl) Total Dissolved,2014-06-11T17:19:00.000000,0.307,1,GROUNDWATER,"Vancouver Island, Nanaimo",Bureau Veritas Laboratories (Maxxam),Grab - Discrete Samples,Fresh Water,General,Calculation (mg/L)
